timestamp,min,avg,max,mdev
2024-05-12 11:05:40,30.549,43.032,61.364,7.013
2024-05-12 11:06:40,24.572,37.775,61.660,9.110
2024-05-12 11:07:41,22.409,30.825,51.290,7.324
2024-05-12 11:09:40,21.570,31.241,42.854,4.843
2024-05-12 11:10:40,24.923,39.873,57.590,7.906
2024-05-12 11:11:40,21.828,37.130,58.024,8.329
2024-05-12 11:12:41,21.168,32.009,45.759,5.859
2024-05-12 11:13:40,21.779,29.300,39.376,4.298
2024-05-12 11:14:40,21.953,32.685,60.785,6.513
2024-05-12 11:15:40,20.817,34.492,51.785,7.762
2024-05-12 11:16:40,25.395,34.390,50.497,6.400
2024-05-12 11:17:40,21.765,30.702,44.864,6.427
2024-05-12 11:19:40,21.208,32.260,52.172,6.400
2024-05-12 11:20:40,34.727,48.233,68.611,9.012
2024-05-12 11:21:40,21.862,31.668,50.521,5.800
2024-05-12 11:22:41,23.851,30.955,41.420,5.093
2024-05-12 11:23:40,21.799,37.262,90.454,14.782
2024-05-12 11:24:40,22.850,36.578,61.863,7.874
2024-05-12 11:25:40,21.932,31.430,52.937,6.455
2024-05-12 11:26:40,21.275,30.748,45.602,5.900
2024-05-12 11:27:41,32.961,43.498,53.777,5.629
2024-05-12 11:29:40,32.913,40.816,56.165,4.978
2024-05-12 11:30:40,21.651,30.903,41.914,5.090
2024-05-12 11:31:40,20.917,34.968,59.563,9.040
2024-05-12 11:32:41,22.350,34.468,53.601,8.429
